position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
113,REGION_ESP,Region Spain,wave-specific,numeric,1000,145910,1.0,19.0,,1 = Galicia | 2 = Asturias | 3 = Cantabria | 4 = Basque Community | 5 = Navarre | 6 = La Rioja | 7 = Aragon | 8 = Madrid | 9 = Castile-Leon | 10 = Castile-La Mancha | 11 = Extremadura | 12 = Catalonia | 13 = Valencian Community | 14 = Balearic Islands | 15 = Andalusia | 16 = Region of Murcia | 17 = Ceuta | 18 = Melilla | 19 = Canary Islands | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
114,REGION_EST,Region Estonia,wave-specific,numeric,1009,145901,1.0,15.0,,1 = Harju | 2 = Hiiu | 3 = Ida-Viru | 4 = Jarva | 5 = Jogeva | 6 = Laane | 7 = Laane-Viru | 8 = Parnu | 9 = Polva | 10 = Rapla | 11 = Saare | 12 = Tartu | 13 = Valga | 14 = Viljandi | 15 = Voru | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
115,REGION_ETH,Region Ethiopia,wave-specific,numeric,1000,145910,1.0,10.0,,1 = Addis Abeba | 2 = Afar | 3 = Amhara | 4 = Benishangul | 5 = Diredawa | 6 = Gambella | 7 = Harar | 8 = Oromia | 9 = Somali | 10 = Southern | 11 = Tigray | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
116,REGION_FIN,Region Finland,wave-specific,numeric,1003,145907,2.0,99.0,,1 = Aland | 2 = Central Finland | 3 = Central Ostrobothnia | 4 = Southwest Finland (Finland Proper) | 5 = Kainuu | 6 = Kymenlaakso | 7 = Lapland | 8 = North Karelia | 9 = Northern Ostrobothnia | 10 = Northern Savonia (North Savo) | 11 = Ostrobothnia | 12 = Paijanne Tavastia (Paijat-Hame) | 13 = Tampere Region (Pirkanmaa) | 14 = Satakunta | 15 = South Karelia | 16 = Southern Ostrobothnia | 17 = Southern Savonia (South Savo) | 18 = Kanta-Hame (Tavastia Proper) | 19 = Uusimaa | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
117,REGION_GAB,Region Gabon,wave-specific,numeric,1000,145910,1.0,9.0,,1 = Estuaire | 2 = Haut-Ogooue | 3 = Moyen-Ogooue | 4 = Ngounie | 5 = Nyanga | 6 = Ogooue-Ivindo | 7 = Ogooue-Lolo | 8 = Ogooue-Maritime | 9 = Woleu-Ntem | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
118,REGION_GBR,Region United Kingdom,wave-specific,numeric,1000,145910,1.0,12.0,,1 = East Midlands | 2 = East of England | 3 = London | 4 = North East | 5 = North West | 6 = Scotland | 7 = South East | 8 = South West | 9 = Wales | 10 = West Midlands | 11 = Yorkshire and The Humber | 12 = Northern Ireland | 98 = (Dont know) | 99 = (Refused),As supplied in the source file for this wave.
119,REGION_GEO,Region Georgia,wave-specific,numeric,1000,145910,1.0,11.0,,1 = Tbilisi | 2 = Imereti | 3 = Adjara | 4 = Samegrelo | 5 = Sida Kartli | 6 = Kvemo Kartli | 7 = Mtskheta-Mtianeti | 8 = Samtskhe-Javakheti | 9 = Kakheti | 10 = Guria | 11 = Lechkhumi and Kvemo Svaneti | 12 = Abkhazia | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
120,REGION_GHA,Region Ghana,wave-specific,numeric,1000,145910,1.0,10.0,,1 = ASHANTI | 2 = BRONG AHAFO | 3 = CENTRAL | 4 = EASTERN | 5 = GREATER ACCRA | 6 = NORTHERN | 7 = UPPER EAST | 8 = UPPER WEST | 9 = VOLTA | 10 = WESTERN | 98 = (DK) | 99 = (REFUSED),As supplied in the source file for this wave.
121,REGION_GMB,Region Gambia,wave-specific,numeric,1000,145910,1.0,43.0,,1 = Kanifing | 2 = Kombo North | 3 = Kombo South | 4 = Kombo Central | 5 = Kombo East | 6 = Foni Bondali | 7 = Foni Brefet | 8 = Foni Kansala | 9 = Foni Bintang-Karenai | 10 = Foni Jarrol | 11 = Janjanbureh | 12 = Fulladu West | 13 = Niamina East | 14 = Niamina West | 15 = Niamina Dankunku | 16 = Lower Saloum | 17 = Upper Saloum | 18 = Nianija | 19 = Niani | 20 = Sami | 21 = Kiang Central | 22 = Kiang East | 23 = Kiang West | 24 = Jarra Central | 25 = Jarra East | 26 = Jarra West | 27 = Lower Niumi | 28 = Upper Niumi | 29 = Jokadu | 30 = Central Baddibu | 31 = Illiasa | 32 = Lower Baddibu | 33 = Sabach Sanjal | 34 = Kantora | 35 = Tumana | 36 = Basse Fulladu East | 37 = Jimara | 38 = Wuli West | 39 = Wuli East | 40 = Sandu | 41 = Banjul South | 42 = Banjul Central | 43 = Banjul North,As supplied in the source file for this wave.
122,REGION_GRC,Region Greece,wave-specific,numeric,1011,145899,1.0,13.0,,1 = Attica | 2 = Central Greece | 3 = Central Macedonia | 4 = Crete | 5 = East Macedonia and Thrace | 6 = Epirus | 7 = Ionian Islands | 8 = North Aegean | 9 = Peloponnese | 10 = South Aegean | 11 = Thessaly | 12 = West Greece | 13 = West Macedonia | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
123,REGION_GTM,Region Guatemala,wave-specific,numeric,1000,145910,1.0,22.0,,1 = Guatemala | 2 = Huehuetenango | 3 = Alta Verapaz | 4 = Quiché | 5 = Izabal | 6 = El Progreso | 7 = Sacatepéquez | 8 = Chimaltenango | 9 = Escuintla | 10 = Santa Rosa | 11 = Sololá | 12 = Totonicapán | 13 = Quetzaltenango | 14 = Suchitepéquez | 15 = Retalhuleu | 16 = San Marcos | 17 = Baja Verapaz | 18 = Petén | 19 = Zacapa | 20 = Chiquimula | 21 = Jalapa | 22 = Jutiapa | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
124,REGION_GUI,Region Guinea,wave-specific,numeric,1000,145910,1.0,8.0,,1 = Conakry | 2 = Boke | 3 = Kindia | 4 = Labe | 5 = Mamou | 6 = Faranah | 7 = Kankan | 8 = Nzerekore | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
125,REGION_HKG,Region Hong Kong,wave-specific,numeric,1004,145906,1.0,3.0,,1 = Hong Kong Island | 2 = Kowloon | 3 = New Territories | 8 = (DK) | 9 = (Refused),As supplied in the source file for this wave.
126,REGION_HND,Region Honduras,wave-specific,numeric,1000,145910,1.0,18.0,,1 = Atlántida | 2 = Choluteca | 3 = Colon | 4 = Comayagua | 5 = Copán | 6 = Cortés | 7 = El Paraíso | 8 = Francisco Morazán | 9 = Gracias a Dios | 10 = Intibucá | 11 = Isla de la Bahía | 12 = La Paz | 13 = Lempira | 14 = Ocotepeque | 15 = Olancho | 16 = Santa Bárbara | 17 = Valle | 18 = Yoro | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
127,REGION_HRV,Region Croatia,wave-specific,numeric,1004,145906,1.0,21.0,,1 = Bjelovarsko-bilogorska zupanija | 2 = Brodsko-posavska zupanija | 3 = Dubrovacko-neretvanska zupanija | 4 = Istarska zupanija | 5 = Karlovacka zupanija | 6 = Koprivnicko-krizevacka zupanija | 7 = Krapinsko-zagorska zupanija | 8 = Licko-senjska zupanija | 9 = Medimurska zupanija | 10 = Osjecko-baranjska zupanija | 11 = Pozesko-slavonska zupanija | 12 = Primorsko-goranska zupanija | 13 = Sibensko-kninska zupanija | 14 = Sisacko-moslavacka zupanija | 15 = Splitsko-dalmatinska zupanija | 16 = Varazdinska zupanija | 17 = Viroviticko-podravska zupanija | 18 = Vukovarsko-srijemska zupanija | 19 = Zadarska zupanija | 20 = Zagrebacka zupanija | 21 = Grad Zagreb | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
128,REGION_HUN,Region Hungary,wave-specific,numeric,1011,145899,1.0,20.0,,1 = Budapest | 2 = Bacs-Kiskun | 3 = Baranya | 4 = Bekes | 5 = Borsod-Abauj-Zemplen | 6 = Csongrad | 7 = Fejer | 8 = Gyor-Moson-Sopron | 9 = Hajdu-Bihar | 10 = Heves | 11 = Jasz-Nagykun-Szolnok | 12 = Komarom-Esztergom | 13 = Nograd | 14 = Pest | 15 = Somogy | 16 = Szabolcs-Szatmar-Bereg | 17 = Tolna | 18 = Vas | 19 = Veszprem | 20 = Zala | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
129,REGION_ICL,Region Iceland,wave-specific,numeric,505,146405,1.0,2.0,,1 = Capital area | 2 = Outside the capital area | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
130,REGION_IDN,Region Indonesia,wave-specific,numeric,1000,145910,1.0,32.0,,1 = Nanggroe Aceh Darussalam | 2 = North Sumatra | 3 = West Sumatra | 4 = Riau | 5 = Jambi | 6 = South Sumatra | 7 = Bengkulu | 8 = Lampung | 9 = Bangka Belitung Island | 10 = Riau Island | 11 = DKI Jakarta | 12 = West Java | 13 = Central Java | 14 = DI Yogjakarta | 15 = East Java | 16 = Banten | 17 = Bali | 18 = West Nusa Tenggara | 19 = East Nusa Tenggara | 20 = West Kalimantan | 21 = Central Kalimantan | 22 = South Kalimantan | 23 = East Kalimantan | 24 = North Sulawesi | 25 = Central Sulawesi | 26 = South Sulawesi | 27 = Southeast Sulawesi | 28 = Gorontalo | 29 = West Sulawesi | 30 = Maluku | 31 = North Maluku | 32 = Papua | 33 = West Papua | 34 = North Kalimantan | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
131,REGION_IND,Region India,wave-specific,numeric,3000,143910,1.0,32.0,,1 = Andhra Pradesh | 2 = Arunachal Pradesh | 3 = Assam | 4 = Bihar | 5 = Chandigarh | 6 = Chhattisgarh | 7 = Delhi | 8 = Goa | 9 = Gujarat | 10 = Haryana | 11 = Himachal Pradesh | 12 = Jammu and Kashmir | 13 = Jharkhand | 14 = Karnataka | 15 = Kerala | 16 = Madhya Pradesh | 17 = Maharashtra | 18 = Manipur | 19 = Meghalaya | 20 = Mizoram | 21 = Nagaland | 22 = Odisha (Orissa) | 23 = Pondicherry | 24 = Punjab | 25 = Rajasthan | 26 = Sikkim | 27 = Tamil Nadu | 28 = Tripura | 29 = Uttar Pradesh | 30 = Uttarakhand | 31 = West Bengal | 32 = Telangana | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
132,REGION_IRL,Region Ireland,wave-specific,numeric,1000,145910,1.0,27.0,,1 = Carlow | 2 = Cavan | 3 = Clare | 4 = Cork | 5 = Donegal | 6 = Dublin | 7 = Galway | 8 = Kerry | 9 = Kildare | 10 = Kilkenny | 11 = Laois | 12 = Leitrim | 13 = Limerick | 14 = Longford | 15 = Louth | 16 = Mayo | 17 = Meath | 18 = Monaghan | 19 = Offaly | 20 = Roscommon | 21 = Sligo | 22 = North Tipperary | 23 = South Tipperary | 24 = Waterford | 25 = Westmeath | 26 = Wexford | 27 = Wicklow | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
133,REGION_IRN,Region Iran,wave-specific,numeric,1007,145903,1.0,31.0,,1 = Alborz | 2 = Ardabil | 3 = East Azerbaijan | 4 = West Azerbaijan | 5 = Bushehr | 6 = Chahar Mahaal and Bakhtiari | 7 = Fars | 8 = Gilan | 9 = Golestan | 10 = Hamadan | 11 = Hormozgan | 12 = Ilam | 13 = Isfahan | 14 = Kerman | 15 = Kermanshah | 16 = North Khorasan | 17 = Razavi Khorasan | 18 = South Khorasan | 19 = Khuzestan | 20 = Kohgiluyeh and Boyer-Ahmad | 21 = Kurdistan | 22 = Lorestan | 23 = Markazi | 24 = Mazandaran | 25 = Qazvin | 26 = Qom | 27 = Semnan | 28 = Sistan and Baluchistan | 29 = Tehran | 30 = Yazd | 31 = Zanjan | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
134,REGION_IRQ,Region Iraq,wave-specific,numeric,1035,145875,1.0,18.0,,1 = Baghdad | 2 = Basra | 3 = Najaf | 4 = Anbar | 5 = Kirkuk (Tamim) | 6 = Sulaymaniya | 7 = Arbil | 8 = Diyala | 9 = Ninawa | 10 = Dhi Qar | 11 = Babil | 12 = Maysan | 13 = Wasit | 14 = Salah ad-Din | 15 = Muthanna | 16 = Qadisiyyah | 17 = Karbala | 18 = Duhok | 19 = Halabja | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
135,REGION_ISR,Region Israel,wave-specific,numeric,1000,145910,1.0,6.0,,1 = Jerusalem District | 2 = Northern District | 3 = Haifa District | 4 = Central District | 5 = Tel Aviv District | 6 = Southern District | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
136,REGION_ITA,Region Italy,wave-specific,numeric,1000,145910,1.0,20.0,,1 = Abruzzo | 2 = Aosta Valley | 3 = Apulia | 4 = Basilicata | 5 = Calabria | 6 = Campania | 7 = Emilia-Romagna | 8 = Friuli-Venezia Giulia | 9 = Lazio | 10 = Liguria | 11 = Lombardy | 12 = Marche | 13 = Molise | 14 = Piedmont | 15 = Sardinia | 16 = Sicily | 17 = Trentino-Alto Adige | 18 = Tuscany | 19 = Umbria | 20 = Veneto | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
137,REGION_JOR,Region Jordan,wave-specific,numeric,1000,145910,1.0,12.0,,1 = Amman | 2 = Al Zarqa | 3 = Al Balqa a | 4 = Madaba | 5 = Irbid | 6 = Al Mafraq | 7 = Jarash | 8 = Ajloun | 9 = Al Karak | 10 = Al Tafilah | 11 = Ma an | 12 = Al Aqaba | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
138,REGION_JPN,Region Japan,wave-specific,numeric,1004,145906,1.0,99.0,,1 = Hokkaido | 2 = Tohoku | 3 = Kanto | 4 = Hokuriku | 5 = Koshinetsu | 6 = Tokai | 7 = Chukyo | 8 = Kansai | 9 = Chugoku | 10 = Shikoku | 11 = Kyushu | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
139,REGION_KEN,Region Kenya,wave-specific,numeric,1000,145910,1.0,47.0,,1 = Baringo | 2 = Bomet | 3 = Bungoma | 4 = Busia | 5 = Elgeyo Marakwet | 6 = Embu | 7 = Garissa | 8 = Homa Bay | 9 = Isiolo | 10 = Kajiado | 11 = Kakamega | 12 = Kericho | 13 = Kiambu | 14 = Kilifi | 15 = Kirinyaga | 16 = Kisii | 17 = Kisumu | 18 = Kitui | 19 = Kwale | 20 = Laikipia | 21 = Lamu | 22 = Machakos | 23 = Makueni | 24 = Mandera | 25 = Marsabit | 26 = Meru | 27 = Migori | 28 = Mombasa | 29 = Murang a | 30 = Nairobi | 31 = Nakuru | 32 = Nandi | 33 = Narok | 34 = Nyamira | 35 = Nyandarua | 36 = Nyeri | 37 = Samburu | 38 = Siaya | 39 = Taita Taveta | 40 = Tana River | 41 = Tharaka Nithi | 42 = Trans Nzoia | 43 = Turkana | 44 = Uasin Gishu | 45 = Vihiga | 46 = Wajir | 47 = West Pokot | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
140,REGION_KGZ,Region Kyrgyzstan,wave-specific,numeric,1000,145910,1.0,9.0,,1 = Bishkek city | 2 = Chuiskaya oblast | 3 = Talasskaya oblast | 4 = Narynskaya oblast | 5 = Issyk-Kulskaya oblast | 6 = Osh city/Oshskaya oblast | 8 = Jalalabatskaya oblast | 9 = Batkenskaya oblast | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
141,REGION_KHM,Region Cambodia,wave-specific,numeric,1000,145910,1.0,25.0,,1 = Banteay Meanchey | 2 = Battambang | 3 = Kampong Cham | 4 = Kampong Chhnang | 5 = Kampong Speu | 6 = Kampong Thom | 7 = Kampot | 8 = Kandal | 9 = Koh Kong | 10 = Kep | 11 = Kratie | 12 = Mondulkiri | 13 = Oddar Meancheay | 14 = Pailin | 15 = Phnom Penh | 16 = Sihanoukville | 17 = Preah Vihear | 18 = Pursat | 19 = Prey Veng | 20 = Ratanakiri | 21 = Siem Reap | 22 = Stung Treng | 23 = Svay Rieng | 24 = Takeo | 25 = Tboung Khmum,As supplied in the source file for this wave.
142,REGION_KOR,Region South Korea,wave-specific,numeric,1027,145883,1.0,17.0,,1 = Seoul | 2 = Busan | 3 = Daegu | 4 = Incheon | 5 = Gwangju | 6 = Daejeon | 7 = Ulsan | 8 = Gyeonggi-do | 9 = Gangwo-do | 10 = Chungcheongbuk-do (Northern Chungcheong) | 11 = Chungcheongnam-do (Southern Chungcheong) | 12 = Jeollabuk-do (Northern Jeolla) | 13 = Jeollanam-do (Southern Jeolla) | 14 = Gyeongsangbuk-do (Northern Gyeongsang) | 15 = Gyeongsangnam-do (Southern Gyeongsang) | 16 = Jeju-do | 17 = Sejong | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
143,REGION_KOS,Region Kosovo,wave-specific,numeric,1000,145910,1.0,37.0,,1 = Decan | 2 = Gjakove | 3 = Gllogoc | 4 = Gjilan | 5 = Dragash | 6 = Istog | 7 = Kacanik | 8 = Kline | 9 = Fushe Kosove | 10 = Kamenice | 11 = Mitrovice | 12 = Leposavic | 13 = Lipjan | 14 = Obilic | 15 = Rahovec | 16 = Peje | 17 = Podujeve | 18 = Prishtine | 19 = Prizren | 20 = Skenderaj | 21 = Shtime | 22 = Strpce | 23 = Suhareke | 24 = Ferizaj | 25 = Viti | 26 = Vushtrri | 27 = Zubin Potok | 28 = Zvecan | 29 = Malisheve | 30 = Han i Elezit | 31 = Gracanica | 32 = Junik | 33 = Klokot | 34 = Mamush | 35 = Partes | 36 = Ranilug | 37 = Mitrovice e Veriut | 38 = Novoberde,As supplied in the source file for this wave.
144,REGION_KWT,Region Kuwait,wave-specific,numeric,1063,145847,1.0,6.0,,1 = Kuwait | 2 = Hawali | 3 = Furawania | 4 = Al Ahmadi | 5 = Al Juhraa | 6 = Grand Mubarrak | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
145,REGION_LAO,Region Laos,wave-specific,numeric,1000,145910,1.0,18.0,,1 = Attapu | 2 = Bokeo | 3 = Bolikhamxai | 4 = Champasak | 5 = Houaphan | 6 = Khammouan | 7 = Louang Namtha | 8 = Louangphabang | 9 = Oudomxai | 10 = Phongsali | 11 = Salavan | 12 = Savannakhet | 13 = Vientiane Prefecture with Vientiane Capital | 14 = Vientiane Province | 15 = Xaignabouli | 16 = Xaisomboun | 17 = Xekong | 18 = Xiangkhoang,As supplied in the source file for this wave.
146,REGION_LBN,Region Lebanon,wave-specific,numeric,1010,145900,1.0,30.0,,1 = Beirut. East Center | 3 = Beirut. West Center | 5 = Tripoli | 6 = Koura | 7 = Zgharta | 8 = Batroun | 9 = Akkar | 10 = Saida | 11 = Tyre | 12 = Nabatieh | 13 = Zahle | 14 = Baalbak | 15 = Western Bekaa | 17 = Jbeil | 18 = Chouf | 19 = Aley | 20 = Jezzine | 21 = Bent Jbeil | 22 = Matn | 23 = Becharri | 24 = Marjeyoune | 25 = Hasbaya | 26 = Rashaya | 27 = Hermel | 28 = Keserwan (incl Jounieh) | 29 = Minieh-Danniye | 30 = Baabda | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
147,REGION_LBR,Region Liberia,wave-specific,numeric,1002,145908,1.0,15.0,,1 = Bomi | 2 = Bong | 3 = Gbarpolu | 4 = Grand Bassa | 5 = Grand Cape Mount | 6 = Grand Gedeh | 7 = Grand Kru | 8 = Lofa | 9 = Margibi | 10 = Maryland | 11 = Montserrado | 12 = Nimba | 13 = Rivercess | 14 = River Gee | 15 = Sinoe,As supplied in the source file for this wave.
148,REGION_LKA,Region Sri Lanka,wave-specific,numeric,1000,145910,1.0,9.0,,1 = Western | 2 = Central | 3 = Southern | 4 = Northern | 5 = Eastern | 6 = Northwest | 7 = North Central | 8 = Uva | 9 = Sabaragamuwa | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
149,REGION_LTU,Region Lithuania,wave-specific,numeric,1000,145910,1.0,10.0,,1 = Alytaus county | 2 = Kauno county | 3 = Klaipedos county | 4 = Marijampoles county | 5 = Panevezio county | 6 = Siauliu county | 7 = Taurages county | 8 = Telsiu county | 9 = Utenos county | 10 = Vilnius county | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
150,REGION_LUX,Region Luxembourg,wave-specific,numeric,1000,145910,1.0,99.0,,1 = Clervaux | 2 = Diekirch | 3 = Redange | 4 = Vianden | 5 = Wiltz | 6 = Echternach | 7 = Grevenmacher | 8 = Remich | 9 = Capellen | 10 = Esch-sur-Alzette | 11 = Luxembourg | 12 = Mersch | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
151,REGION_LVA,Region Latvia,wave-specific,numeric,1020,145890,1.0,6.0,,1 = Riga | 2 = Vidzeme | 3 = Kurzeme | 4 = Zemgale | 5 = Latgale | 6 = Pieriga | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
152,REGION_LYB,Region Libya,wave-specific,numeric,1005,145905,1.0,22.0,,1 = Al-Kufrah | 2 = Benghazi | 3 = Tarabulus | 4 = Al-Butnan | 5 = Al-Jabal al-Akhdar | 6 = Al-Jifarah | 7 = Al-Marj | 8 = Al-Marqab | 9 = Al-Wahah | 10 = Az-Zawiyah | 11 = Darnah | 12 = Misratah | 13 = Al Jabal al Gharbi | 14 = Al Jufrah | 15 = An Nuqat al Khams | 16 = Ghat | 17 = Murzuq | 18 = Nalut | 19 = Sabha | 20 = Surt | 21 = Wadi al Hayat | 22 = Wadi ash Shati | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
153,REGION_MDA,Region Moldova,wave-specific,numeric,1000,145910,1.0,35.0,,1 = Municipality Chisinau | 2 = Municipality Balti | 3 = County Anenii Noi | 4 = County Basarabeasca | 5 = County Briceni | 6 = County Cahul | 7 = County Cantemir | 8 = County Calarasi | 9 = County Causeni | 10 = County Cimislia | 11 = County Criuleni | 12 = County Donduseni | 13 = County Drochia | 14 = County Edinet | 15 = County Falesti | 16 = County Floresti | 17 = County Glodeni | 18 = County Hincesti | 19 = County Ialoveni | 20 = County Leova | 21 = County Nisporeni | 22 = County Ocnita | 23 = County Orhei | 24 = County Rezina | 25 = County Riscani | 26 = County Singerei | 27 = County Soroca | 28 = County Straseni | 29 = County Soldanesti | 30 = County Stefan Voda | 31 = County Taraclia | 32 = County Telenesti | 33 = County Ungheni | 34 = T.A.U. Gagauzia | 35 = County Dubasari | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
154,REGION_MDG,Region Madagascar,wave-specific,numeric,1000,145910,1.0,22.0,,1 = Alaotra Mangoro | 2 = Amoron i Mania | 3 = Analamanga | 4 = Analanjirofo | 5 = Androy | 6 = Anosy | 7 = Atsimo Andrefana | 8 = Atsimo Atsinanana | 9 = Atsinanana | 10 = Betsiboka | 11 = Boeny | 12 = Bongolava | 13 = Diana | 14 = Haute Matsiatra | 15 = Ihorombe | 16 = Itasy | 17 = Melaky | 18 = Menabe | 19 = Sava | 20 = Sofia | 21 = Vakinankaratra | 22 = Vatovavy Fitovinany,As supplied in the source file for this wave.
155,REGION_MEX,Region Mexico,wave-specific,numeric,1000,145910,1.0,31.0,,1 = Aguascalientes | 2 = Baja California | 3 = Baja California Sur | 4 = Campeche | 5 = Chiapas | 6 = Chihuahua | 7 = Coahuila de Zaragoza | 8 = Colima | 9 = Distrito Federal/Ciudad de México | 10 = Durango | 11 = Guanajuato | 12 = Guerrero | 13 = Hidalgo | 14 = Jalisco | 15 = México | 16 = Michoacán de Ocampo | 17 = Morelos | 18 = Nayarit | 19 = Nuevo León | 20 = Oaxaca | 21 = Puebla | 22 = Querétaro Arteaga | 23 = Quintana Roo | 24 = San Luis Potosí | 25 = Sinaloa | 26 = Sonora | 27 = Tabasco | 28 = Tamaulipas | 29 = Tlaxcala | 30 = Veracruz | 31 = Yucatán | 32 = Zacatecas | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
156,REGION_MKD,Region Macedonia,wave-specific,numeric,1000,145910,1.0,8.0,,1 = Eastern | 2 = Northeastern | 3 = Pelagonia | 4 = Polog | 5 = Skopje | 6 = Southeastern | 7 = Southwestern | 8 = Vardar | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
157,REGION_MLI,Region Mali,wave-specific,numeric,1000,145910,22.0,50.0,,1 = Bandiagara | 2 = Bankass | 3 = Djenne | 4 = Douentza | 5 = Koro | 6 = Mopti | 7 = Tenenkou | 8 = Youwarou | 9 = Ansongo | 10 = Bourem | 11 = Gao | 12 = Menaka | 13 = Abeibara | 14 = Kidal | 15 = Tessalit | 16 = Tin-Essako | 17 = Dire | 18 = Goundam | 19 = Gourma-Rharous | 20 = Niafunke | 21 = Tombouctou | 22 = Bla | 23 = Baroueli | 24 = Macina | 25 = Niono | 26 = Segou | 27 = San | 28 = Tominian | 29 = Bougouni | 30 = Kolondieba | 31 = Kadiolo | 32 = Koutiala | 33 = Sikasso | 34 = Yanfolila | 35 = Yorosso | 36 = Bamako | 37 = Banamba | 38 = Dioila | 39 = Kangaba | 40 = Koulikoro | 41 = Kolokani | 42 = Kati | 43 = Nara | 44 = Bafoulabe | 45 = Diema | 46 = Kita | 47 = Kenieba | 48 = Kayes | 49 = Nioro du Sahel | 50 = Yelimane | 51 = Foum Alba | 52 = Achouratt | 53 = Al-Ourche | 54 = Boudje-Beha | 55 = Menaka | 56 = Anderamboukane | 57 = Inekar | 58 = Tidermene | 59 = Araouane | 60 = Taoudenit | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
158,REGION_MLT,Region Malta,wave-specific,numeric,1000,145910,1.0,6.0,,1 = Southern Harbour District | 2 = Northern Harbour District | 3 = South Eastern District | 4 = Western District | 5 = North District | 6 = Gozo and Comino,As supplied in the source file for this wave.
159,REGION_MLW,Region Malawi,wave-specific,numeric,1000,145910,1.0,28.0,,1 = Dedza | 2 = Dowa | 3 = Kasungu | 4 = Lilongwe | 5 = Mchinji | 6 = Nkhotakota | 7 = Ntcheu | 8 = Ntchisi | 9 = Salima | 10 = Chitipa | 11 = Karonga | 12 = Likoma | 13 = Mzimba | 14 = Nkhata Bay | 15 = Rumphi | 16 = Balaka | 17 = Blantyre | 18 = Chikwawa | 19 = Chiradzulu | 20 = Machinga | 21 = Mangochi | 22 = Mulanje | 23 = Mwanza | 24 = Nsanje | 25 = Thyolo | 26 = Phalombe | 27 = Zomba | 28 = Neno (Mwanza),As supplied in the source file for this wave.
160,REGION_MMR,Region Myanmar,wave-specific,numeric,1000,145910,1.0,15.0,,1 = Chin State | 2 = Kachin State | 3 = Kayah State | 4 = Kayin State | 5 = Mon State | 6 = Rakhine State | 7 = Shan State | 8 = Ayeyarwady Region | 9 = Bago Region | 10 = Magway Region | 11 = Mandalay Region | 12 = Sagaing Region | 13 = Tanintharyi Region | 14 = Yangon Region | 15 = Naypyidaw Union Territory | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
161,REGION_MNE,Region Montenegro,wave-specific,numeric,1000,145910,1.0,24.0,,1 = Andrijevica | 2 = Bar | 3 = Berane | 4 = Bijelo Polje | 5 = Budva | 6 = Cetinje | 7 = Danilovgrad | 8 = Herceg Novi | 9 = Kolasin | 10 = Kotor | 11 = Mojkovac | 12 = Niksic | 13 = Plav | 14 = Pluzine | 15 = Pljevlja | 16 = Podgorica | 17 = Rozaje | 18 = Savnik | 19 = Tivat | 20 = Ulcinj | 21 = Zabljak | 22 = Petnjica | 23 = Gusinje | 24 = Tuzi | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
