position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
81,WP22263,Experienced Discrimination Due to a Disability,wave-specific,numeric,143892,3018,1.0,99.0,,1 = Yes | 2 = No | 97 = (Does not apply) | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
82,REGION_AFG,Region Afghanistan,wave-specific,numeric,1002,145908,2.0,32.0,,1 = Badakhstan | 2 = Badghis | 3 = Baghlan | 4 = Balkh | 5 = Bamyan | 6 = Daikondi | 7 = Farah | 8 = Faryab | 9 = Ghazni | 10 = Ghor | 11 = Helmand | 12 = Herat | 13 = Jowzjan | 14 = Kabul | 15 = Kandahar | 16 = Kapisa | 17 = Khost | 18 = Konar | 19 = Kunduz | 20 = Laghman | 21 = Logar | 22 = Nangarhar | 23 = Nimruz | 24 = Nurestan | 25 = Paktia | 26 = Paktika | 27 = Panjshir | 28 = Parwan | 29 = Samangan | 30 = Sar-e Pol | 31 = Takhar | 32 = Uruzgan | 33 = Wardak | 34 = Zabul,As supplied in the source file for this wave.
83,REGION_ALB,Region Albania,wave-specific,numeric,1000,145910,1.0,36.0,,1 = Berat | 2 = Bulqize | 3 = Delvine | 4 = Devoll | 5 = Diber | 6 = Durres | 7 = Elbasan | 8 = Fier | 9 = Gjirokaster | 10 = Gramsh | 11 = Has | 12 = Kavaje | 13 = Kolonje | 14 = Korce | 15 = Kruje | 16 = Kucove | 17 = Kukes | 18 = Kurbin | 19 = Lezhe | 20 = Librazhd | 21 = Lushnje | 22 = Malesi e Madhe | 23 = Mallakaster | 24 = Mat | 25 = Mirdite | 26 = Peqin | 27 = Permet | 28 = Pogradec | 29 = Puke | 30 = Sarande | 31 = Shkoder | 32 = Skrapar | 33 = Tepelene | 34 = Tirana | 35 = Tropoje | 36 = Vlore | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
84,REGION_ARE,Region United Arab Emirates,wave-specific,numeric,1000,145910,1.0,8.0,,1 = Abu Dhabi Emirate | 3 = Dubai Emirate | 4 = Sharjah Emirate | 5 = Ajman Emirate | 6 = Um Quwain Emirate | 7 = Ras Al Khaimah Emirate (RAK) | 8 = Fujairah Emirate | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
85,REGION_ARG,Region Argentina,wave-specific,numeric,1003,145907,1.0,24.0,,1 = Capital Federal | 2 = Buenos Aires | 3 = Catamarca | 4 = Chaco | 5 = Chubut | 6 = Cordoba | 7 = Corrientes | 8 = Entre Ríos | 9 = Formosa | 10 = Jujuy | 11 = La Pampa | 12 = La Rioja | 13 = Mendoza | 14 = Misiones | 15 = Neuquen | 16 = Río Negro | 17 = Salta | 18 = San Juan | 19 = San Luis | 20 = Santa Cruz | 21 = Santa Fe | 22 = Santiago del Estero | 23 = Tierra del Fuego | 24 = Tucumán | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
86,REGION_ARM,Region Armenia,wave-specific,numeric,1000,145910,1.0,11.0,,1 = Yerevan | 2 = Aragatsotn | 3 = Ararat | 4 = Armavir | 5 = Gegharkunik | 6 = Lori | 7 = Kotayk | 8 = Shirak | 9 = Syunik | 10 = Vayots Dzor | 11 = Tavush,As supplied in the source file for this wave.
87,REGION_AUS,Region Australia,wave-specific,numeric,1002,145908,1.0,15.0,,"1 = Sydney | 2 = New South Wales (NSW), excluding Sydney | 3 = Melbourne | 4 = Victoria (VIC), excluding Melbourne | 5 = Brisbane | 6 = Queensland (QLD), excluding Brisbane | 7 = Adelaide | 8 = South Australia (SA), excluding Adelaide | 9 = Perth | 10 = Western Australia (WA), excluding Perth | 11 = Hobart | 12 = Tasmania (TAS), excluding Hobart | 13 = Australian Capital Territory (ACT) | 14 = Darwin | 15 = Northern Territory (NT), excluding Darwin | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
88,REGION_AUT,Region Austria,wave-specific,numeric,1000,145910,18011.0,18034.0,,18011 = Burgenland | 18012 = Lower Austria (Niederosterreich) | 18013 = Vienna (Wien) | 18021 = Carinthia (Karnten) | 18022 = Styria (Steiermark) | 18031 = Upper Austria (Oberosterreich) | 18032 = Salzburg | 18033 = Tyrol  (Tirol) | 18034 = Vorarlberg | 99998 = (DK) | 99999 = (Refused),As supplied in the source file for this wave.
89,REGION_BEL,Region Belgium,wave-specific,numeric,1000,145910,10.0,999.0,,10 = Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest | 21 = Prov. Antwerpen | 22 = Prov. Limburg (B) | 23 = Prov. Oost-Vlaanderen | 24 = Prov. Vlaams-Brabant | 25 = Prov. West-Vlaanderen | 31 = Prov. Brabant Wallon | 32 = Prov. Hainaut | 33 = Prov. Liege | 34 = Prov. Luxembourg (B) | 35 = Prov. Namur | 998 = (DK) | 999 = (Refused),As supplied in the source file for this wave.
90,REGION_BFA,Region Burkina Faso,wave-specific,numeric,1000,145910,1.0,45.0,,1 = Bale | 2 = Bam | 3 = Banwa | 4 = Bazega | 5 = Bougouriba | 6 = Boulgou | 7 = Boulkiemde | 8 = Comoe | 9 = Ganzourgou | 10 = Gnagna | 11 = Gourma | 12 = Houet | 13 = Ioba | 14 = Kadiogo | 15 = Kenedougou | 16 = Komandjoari | 17 = Kompienga | 18 = Kossi | 19 = Koulpelogo | 20 = Kouritenga | 21 = Kourweogo | 22 = Leraba | 23 = Loroum | 24 = Mouhoun | 25 = Nahouri | 26 = Namentenga | 27 = Nayala | 28 = Noumbiel | 29 = Oubritenga | 30 = Oudalan | 31 = Passore | 32 = Poni | 33 = Sanguie | 34 = Sanmatenga | 35 = Seno | 36 = Sissili | 37 = Soum | 38 = Sourou | 39 = Tapoa | 40 = Tuy | 41 = Yagha | 42 = Yatenga | 43 = Ziro | 44 = Zondoma | 45 = Zoundweogo | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
91,REGION_BGD,Region Bangladesh,wave-specific,numeric,1000,145910,1.0,8.0,,1 = Dhaka | 2 = Chittagong | 3 = Khulna | 4 = Rajshahi | 5 = Sylhet | 6 = Barisal | 7 = Rangpur | 8 = Mymensingh | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
92,REGION_BGR,Region Bulgaria,wave-specific,numeric,1000,145910,1.0,28.0,,1 = Blagoevgrad | 2 = Burgas | 3 = Varna | 4 = Veliko Tyrnovo | 5 = Vidin | 6 = Vraca | 7 = Gabrovo | 8 = Dobrich | 9 = Kyrdzhali | 10 = Kiustendil | 11 = Lovech | 12 = Montana | 13 = Pazardzhik | 14 = Pernik | 15 = Pleven | 16 = Plovdiv | 17 = Razgrad | 18 = Ruse | 19 = Silistra | 20 = Sliven | 21 = Smolian | 22 = Sofiia-grad | 23 = Sofiia-region | 24 = Stara Zagora | 25 = Tyrgovishte | 26 = Haskovo | 27 = Shumen | 28 = Iambol | 97 = (Respondent does not live in Bulgaria) | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
